Date;ITSA4.SA;ALOS3.SA;CSAN3.SA;USIM5.SA;BBAS3.SA;B3SA3.SA;UGPA3.SA;BEEF3.SA;BPAC11.SA;BRKM5.SA;CMIG4.SA;KLBN11.SA;ITUB4.SA;VBBR3.SA;BBDC4.SA;LREN3.SA;AXIA3.SA;MGLU3.SA;WEGE3.SA;COGN3.SA;SLCE3.SA;Retorno_IBOV_Simples
2021-02-17;-0,005660725;-0,0216593;-0,001712314;0,057787128;-0,011555488;-0,014199863;-0,003846353;0,051148233;0,002390645;0,009927208;-0,021434176;0,018915057;0,0126076;0;-0,000793944;0,016290641;0,000332952;-0,015824067;-0,031383339;0,016706635;-0,01760575;0,010703852
2021-02-18;-0,01802611;-0,017260903;-0,008463073;-0,011991937;-0,002997487;-0,016777086;-0,034748965;-0,043693899;-0,027792808;-0,009829627;-0,025679815;0,016462371;-0,007114903;0,00764044;-0,009865513;-0,013563297;-0,018302853;-0,018039177;-0,006789952;-0,014084675;-0,007646192;-0,010391142
2021-02-19;-0,009661916;-0,001527327;0,012572148;0,009440446;-0,018941618;0,000517146;0,01600003;-0,022845419;0,00622683;0,014228976;-0,012402974;0,007236494;-0,010390456;0,019625441;-0,008430243;-0,008249873;-0,01322035;-0,003993617;-0,001678756;-0,00476174;0,001204066;-0,003290247
2021-02-22;-0,045853704;-0,03594626;-0,06606688;0,00133591;-0,116457171;-0,039792942;-0,078302779;-0,037194385;-0,021753454;-0,0208809;-0,03453699;0,05713326;-0,072773778;-0,072178472;-0,065586915;-0,033526772;-0,006870451;-0,027666411;-0,006247133;-0,047847102;-0,03631558;-0,051200862
2021-02-23;0,075664645;-0,003966842;0,062568667;0,050033209;0,071700122;-0,007176136;0,014713016;0,034216307;0,011214447;0,00266572;0,009756179;-0,002265683;0,06403725;0,003300457;0,047660168;-0,002086548;0,130058708;0,025154572;0,011363895;-0,005024881;0,00074861;0,022712749
2021-02-24;-0,009505694;-0,001592828;-0,010330488;0,095298712;-0,003943529;0,005059433;-0,00467733;0,043756419;0,005402814;0,101362624;-0,003220759;0,013298596;-0,014677913;-0,008458951;-0,007030626;-0,024568762;0,034588318;-0,008849502;0,036336958;-0,015151625;0,025436322;0,003827228
2021-02-25;-0,02975045;-0,011567664;-0,024704304;-0,04350356;-0,028043838;-0,013124937;-0,073778274;-0,040899731;-0,020269568;-0,042546797;-0,030694374;-0,04033258;-0,03128556;-0,032701227;-0,021657781;-0,001339716;-0,008283961;-0,023944738;-0,077277602;-0,015384512;-0,028210085;-0,029498219
2021-02-26;-0,015825899;-0,054479336;-0,031989566;-0,015160589;-0,047861461;-0,010748462;-0,019787024;0,03411507;-0,015204132;-0,014812443;-0,003333708;-0,003669097;-0,012102192;-0,024007847;-0,020860223;-0,016367209;-0,033114522;0,005405377;-0,024374998;-0,026041563;0,025525525;-0,019785134
2021-03-01;-0,031219014;-0,026888704;0,012285045;0,037561548;-0,006773163;0,000920572;-0,029502844;-0,005154593;0,003615574;0,016634675;-0,035952934;0,034482855;-0,029958587;-0,011546186;-0,033043381;0,013911881;-0,026843614;0,015301818;0,003852883;-0,034759456;0,043435999;0,002726405
2021-03-02;0,029106498;0,004385935;-0,000242806;0,022551931;0,0384061;0,030542996;-0,003200166;-0,004145016;-0,003991837;-0,039962221;0,029488431;-0,013268837;0,040371151;-0,015236152;0,026955423;0,005380642;0,012048215;-0,01140517;-0,012051653;0,005540206;0,024321662;0,010921285
2021-03-03;0,009090758;0,001309806;-0,005947966;0,005223452;0,002073852;0,010354835;-0,025147205;0;-0,013392148;-0,032776163;-0,008424718;-0,012134939;0,00232803;-0,020113546;0,008764386;0,002943416;-0,006265698;0,035022536;-0,000778714;0,011019131;0,014155293;-0,00319168
2021-03-04;0,022022377;0,040122286;0,086823819;-0,029445705;0,036219359;-0,01943755;0,062019879;0,031217629;-0,026552864;0,021009828;0,032285383;-0,00763634;0,0313591;0,067894729;0,038662389;0,049359703;0,007881362;0,012738876;-0,048960843;0,008174447;-0,035119316;0,013545114
2021-03-05;0,015670708;0,048218206;0,03067406;0,058298684;0,018641842;0,018021072;0,016922257;-0,0111;-0,01262109;0,013275815;-0,018930076;0,032452357;0,037161838;-0,001971329;0,047260089;0,005847844;-0,006255686;-0,012185521;-0,002594469;0,100000045;0,020765207;0,022291241
2021-03-08;-0,039537221;-0,059199765;-0,011228613;-0,044969123;-0,045751477;-0,06726859;-0,079043212;-0,019387796;-0,068343399;-0,010809026;-0,03691286;-0,043745852;-0,031849757;-0,057283934;-0,035543395;-0,039433563;0,001888426;-0,080779978;-0,05325871;-0,058968072;-0,025142817;-0,039843058
2021-03-09;0,009036277;-0,006377708;-0,014443213;0,005885812;-0,007191949;0,015373086;0,013551679;0,061394353;-0,014383498;0,042715197;-0,010452738;0,032192384;0,013832327;0,011524232;0,008282057;-0,029473861;-0,017279177;0,012554173;0,033984102;-0,020887953;-0,025556841;0,006500199
2021-03-10;0,027450899;0,02267847;0,002684879;-0,032182441;0,031390418;0,033831723;0,020612856;-0,035294112;0,021329088;0,019688791;0,048415157;-0,035127993;0,007374838;0,064215465;0,0168377;0,039045629;0,013107401;0,0645575;0,010908875;0,080000224;0,015399415;0,012979314
