Date;ALOS3.SA;ABEV3.SA;AZZA3.SA;B3SA3.SA;BBDC3.SA;BBDC4.SA;BBAS3.SA;BRKM5.SA;CMIG4.SA;COGN3.SA;CSMG3.SA;CPLE3.SA;CSAN3.SA;CPFE3.SA;CYRE3.SA;ENGI11.SA;EGIE3.SA;FLRY3.SA;GGBR4.SA;HYPE3.SA;ISAE4.SA;ITUB4.SA;RENT3.SA;LREN3.SA;MGLU3.SA;MBRF3.SA;BEEF3.SA;PSSA3.SA;RADL3.SA;SANB11.SA;VIVT3.SA;TIMS3.SA;TOTS3.SA;UGPA3.SA;VALE3.SA;VBBR3.SA;WEGE3.SA;YDUQ3.SA;Retorno_IBOV_Simples
2021-02-08;0,005250143;-0,037371279;0,007567512;-0,0148151;-0,018054008;-0,021260513;-0,002650447;-0,018175575;0,001414903;-0,034557188;-0,008766587;-0,006166983;0,085725521;0,002093925;0,047740656;0,004366003;-0,002216452;-0,007102304;-0,008264351;0,000606146;-0,003835679;-0,018518929;0,00566288;0,005608631;0,01199225;0,008385887;0,007486613;-0,027880638;0,004356728;-0,030317408;-0,006687248;-0,007220267;0,030108305;0,011017085;0,014240765;-0,002224421;0,011833993;-0,002392266;-0,003410465
2021-02-09;-0,01218663;0,001338796;0,006572018;-0,004639221;0,009417445;0,005134663;0,012105374;0,012574264;-0,016949356;-0,011185764;0,015792838;-0,008687791;-0,022341922;0,008358199;-0,023304391;0,023118088;-0,00333182;-0,008941337;0,006250102;-0,006359753;-0,007701232;0,011973897;-0,010684336;-0,008486738;0,003058109;0,010394862;0,011677201;-0,008423677;0,009857877;0,022580748;-0,000210397;-0,005090872;0,012479578;0,022212765;0,002553022;-0,002228933;-0,005731014;-0,015587545;-0,000727936
2021-02-10;-0,032076223;0,003342268;-0,013990746;-0,034876235;-0,00977336;-0,011002157;-0,013710946;-0,006209058;-0,013649455;-0,04072384;-0,021144346;-0,003129817;0,00442681;-0,005328591;-0,015313429;-0,03534201;0,005126048;-0,007578419;-0,024016724;-0,001524068;-0,008925067;-0,007170596;-0,017075285;-0,027635396;-0,035823166;-0,014403216;-0,024134356;-0,00586555;-0,006247662;-0,026207472;0,002735409;0,009502959;0,018812754;-0,027880249;0,004774542;-0,00223436;0,011998716;-0,025578592;-0,008364803
2021-02-11;-0,002913205;-0,003997575;0,007162186;0,004496394;0,002691514;0,001192269;0,003844682;0,018049287;0,000728447;-0,002358574;0,021601086;0,012558907;0,029184158;0,00446428;0,013743284;0,019819692;0,015964755;0,021454454;0,022910611;0,032662158;-0,007439262;0;-0,005790683;-0,009305686;0,013834052;0,020876963;0,022580913;-0,010376466;0,020825358;0,011960994;0,027282091;0,054308591;0,077682197;-0,012652894;-0,016895436;0,014330644;0,011275302;0,034374868;0,006797264
2021-02-12;-0,005113222;-0,010702215;0,019723495;-0,007626061;0,002237261;0;-0,005597766;0,030344389;-0,01528345;-0,009456334;-0,012437823;-0,010232591;0,013773034;-0,007407399;0,011416379;0,00235599;0,001745802;0,007831889;0;-0,000295983;-0,00394485;0,002527959;-0,000896068;0,012947256;0,010136469;-0,004089942;0,007360468;-0,009662735;-0,003849502;0,000246411;-0,011235623;-0,010989323;0,023338207;-0,00042708;0,008485563;-0,017660223;-0,003793172;-0,010271866;-0,000998029
2021-02-17;-0,0216593;0,03245439;0,000131735;-0,014199863;-0,010267914;-0,000793944;-0,011555488;0,009927208;-0,021434176;0,016706635;-0,003778293;-0,01503746;-0,001712314;-0,019104371;-0,004938327;-0,007246426;-0,028758189;-0,003532052;0,01451686;0,003252763;-0,015841548;0,0126076;-0,014798219;0,016290641;-0,015824067;0,04175207;0,051148233;-0,007473642;-0,032457261;0,015888219;-0,021694486;-0,015972008;-0,01616634;-0,003846353;0,026200808;0;-0,031383339;0,002747213;0,010703852
2021-02-18;-0,017260903;-0,031434212;-0,006709839;-0,016777086;-0,013560546;-0,009865513;-0,002997487;-0,009829627;-0,025679815;-0,014084675;-0,030973503;-0,024172904;-0,008463073;-0,003347702;-0,011697978;-0,035707035;-0,004037743;-0,021623526;-0,002861842;0,001768112;0,006036042;-0,007114903;-0,019723948;-0,013563297;-0,018039177;-0,026281141;-0,043693899;-0,002091656;-0,010383286;-0,018482398;-0,023865149;-0,03669728;-0,005281656;-0,034748965;0,010897783;0,00764044;-0,006789952;0,000913429;-0,010391142
2021-02-19;-0,001527327;0,006761453;0,019867674;0,000517146;-0,003661629;-0,008430243;-0,018941618;0,014228976;-0,012402974;-0,00476174;-0,005218432;-0,001304212;0,012572148;-0,003664032;-0,010760433;0,01043333;0,000225174;0,003985319;0,020910342;0,012650698;-0,000400089;-0,010390456;0,00758414;-0,008249873;-0,003993617;-0,031039028;-0,022845419;0,008803282;0,010896111;0,009910756;0,004760268;0,003662767;0,024483753;0,01600003;0,003798741;0,019625441;-0,001678756;-0,003953825;-0,003290247
2021-02-22;-0,03594626;-0,020819443;0,003636307;-0,039792942;-0,056959023;-0,065586915;-0,116457171;-0,0208809;-0,03453699;-0,047847102;-0,019672099;-0,035410887;-0,06606688;-0,069874437;-0,059463322;-0,046973048;-0,047511721;-0,036088022;-0,0048196;-0,022079754;-0,032812831;-0,072773778;-0,061597658;-0,033526772;-0,027666411;-0,033426308;-0,037194385;-0,025140296;-0,020758796;-0,038763239;-0,021102309;-0,024817446;-0,035703782;-0,078302779;-0,024751858;-0,072178472;-0,006247133;-0,035725209;-0,051200862
2021-02-23;-0,003966842;0,007544597;-0,025232909;-0,007176136;0,045786902;0,047660168;0,071700122;0,00266572;0,009756179;-0,005024881;0,006020199;0,007950938;0,062568667;0,004283356;0,001156577;-0,007860571;0,004964439;0,013852682;0,038337321;0,002970606;0,061232933;0,06403725;0,003437557;-0,002086548;0,025154572;0,023054806;0,034216307;-0,006180579;0,015083592;0,040581581;-0,007699325;-0,010478859;0,000895917;0,014713016;0,016779981;0,003300457;0,011363895;0,003166492;0,022712749
2021-02-24;-0,001592828;-0,000680706;-0,010221701;0,005059433;-0,00652095;-0,007030626;-0,003943529;0,101362624;-0,003220759;-0,015151625;0,015957257;0,002014051;-0,010330488;-0,016076005;-0,010011665;-0,010706381;-0,006116183;-0,004062245;0,054799853;0,000888334;0,021052678;-0,014677913;-0,012398097;-0,024568762;-0,008849502;0,041549225;0,043756419;-0,008149187;-0,012449856;-0,033112316;-0,015961035;0,006051393;-0,01163502;-0,00467733;0,010108487;-0,008458951;0,036336958;-0,007260089;0,003827228
